=== Regression Results ===
R² (Train): 0.2287
R² (Test): 0.0118
RMSE (Train): 4.6440
RMSE (Test): 5.2910

=== Feature Coefficients ===
                                    Feature  Coefficient  Abs_Coefficient
               onehot__route_variant_566s-1     8.766286         8.766286
                onehot__route_variant_844-6     8.733150         8.733150
               onehot__route_variant_776-42     8.720153         8.720153
                onehot__route_variant_741-7     8.717189         8.717189
               onehot__route_variant_t74-39     8.714000         8.714000
              onehot__route_variant_804-571     8.700239         8.700239
               onehot__route_variant_690w-2     8.656511         8.656511
               onehot__route_variant_aps1-1     8.652332         8.652332
               onehot__route_variant_6430-3     8.615941         8.615941
               onehot__route_variant_601e-1     8.564771         8.564771
               onehot__route_variant_1049-1     8.550024         8.550024
              onehot__route_variant_303-134     8.544566         8.544566
                onehot__route_variant_847-5     8.534210         8.534210
              onehot__route_variant_8018-17     8.526568         8.526568
               onehot__route_variant_461-55     8.515339         8.515339
                onehot__route_variant_279-3     8.503234         8.503234
               onehot__route_variant_2222-3     8.501385         8.501385
                onehot__route_variant_93-18     8.419866         8.419866
               onehot__route_variant_578w-1     8.394216         8.394216
                onehot__route_variant_x06-5     8.389050         8.389050
               onehot__route_variant_788n-2     8.388110         8.388110
               onehot__route_variant_shs1-2     8.382958         8.382958
               onehot__route_variant_649s-2     8.362647         8.362647
               onehot__route_variant_292-89     8.331935         8.331935
               onehot__route_variant_179-22     8.322834         8.322834
                onehot__route_variant_852-6     8.318584         8.318584
               onehot__route_variant_694e-4     8.299491         8.299491
               onehot__route_variant_655n-1     8.282948         8.282948
               onehot__route_variant_s567-1     8.273649         8.273649
               onehot__route_variant_704w-1     8.266525         8.266525
                onehot__route_variant_sm9-1     8.254138         8.254138
              onehot__route_variant_754-247     8.221267         8.221267
               onehot__route_variant_333-67     8.217090         8.217090
           onehot__route_variant_6502-86033     8.215420         8.215420
               onehot__route_variant_90-145     8.207414         8.207414
              onehot__route_variant_303-123     8.143544         8.143544
            onehot__route_variant_4502-3026     8.121544         8.121544
               onehot__route_variant_184-30     8.121290         8.121290
               onehot__route_variant_909-20     8.121064         8.121064
               onehot__route_variant_64-257     8.094534         8.094534
                   onehot__suburb_hillsdale     8.078457         8.078457
               onehot__route_variant_e71-19     8.064879         8.064879
               onehot__route_variant_444-29     8.046923         8.046923
               onehot__route_variant_780-63     8.038964         8.038964
                onehot__route_variant_175-4     8.032832         8.032832
               onehot__route_variant_580s-1     8.032410         8.032410
              onehot__route_variant_3540-11     8.017052         8.017052
               onehot__route_variant_572w-1     8.013644         8.013644
               onehot__route_variant_9036-1     8.002617         8.002617
                onehot__route_variant_182-7     7.990657         7.990657
               onehot__route_variant_770n-1     7.988506         7.988506
               onehot__route_variant_2055-1     7.964202         7.964202
              onehot__route_variant_422-106     7.960369         7.960369
               onehot__route_variant_s551-1     7.928155         7.928155
               onehot__route_variant_l85-63     7.915507         7.915507
              onehot__route_variant_422-111     7.911769         7.911769
               onehot__route_variant_132-15     7.896006         7.896006
               onehot__route_variant_s568-1     7.895141         7.895141
               onehot__route_variant_856-21     7.894465         7.894465
               onehot__route_variant_799-23     7.882710         7.882710
              onehot__route_variant_2170-17     7.872893         7.872893
               onehot__route_variant_685w-1     7.870557         7.870557
                onehot__route_variant_958-4     7.870287         7.870287
               onehot__route_variant_ccc1-2     7.867650         7.867650
              onehot__route_variant_9534-13     7.863685         7.863685
               onehot__route_variant_382-11     7.847755         7.847755
               onehot__route_variant_707e-1     7.830509         7.830509
               onehot__route_variant_428-54     7.813380         7.813380
               onehot__route_variant_303-86     7.797713         7.797713
              onehot__route_variant_756-230     7.784110         7.784110
              onehot__route_variant_t64-195     7.776828         7.776828
           onehot__route_variant_5100-23025     7.773146         7.773146
               onehot__route_variant_661-42     7.770897         7.770897
               onehot__route_variant_719e-1     7.765264         7.765264
              onehot__route_variant_9575-13     7.748885         7.748885
                 onehot__route_variant_2a-1     7.737700         7.737700
               onehot__route_variant_715s-1     7.727679         7.727679
               onehot__route_variant_6470-7     7.712493         7.712493
                 onehot__route_variant_39-4     7.673671         7.673671
               onehot__route_variant_l80-16     7.663448         7.663448
             onehot__route_variant_610x-446     7.639386         7.639386
               onehot__route_variant_cch4-2     7.636354         7.636354
           onehot__route_variant_5121-50007     7.617092         7.617092
                onehot__route_variant_x03-7     7.613321         7.613321
                onehot__route_variant_728-4     7.584962         7.584962
               onehot__route_variant_775-29     7.577167         7.577167
                onehot__route_variant_kw4-1     7.576258         7.576258
               onehot__route_variant_229-29     7.560494         7.560494
               onehot__route_variant_594n-2     7.554337         7.554337
               onehot__route_variant_1045-1     7.553884         7.553884
               onehot__route_variant_714n-1     7.553087         7.553087
               onehot__route_variant_ict1-2     7.538001         7.538001
                onehot__route_variant_x92-3     7.531961         7.531961
               onehot__route_variant_487-43     7.508352         7.508352
              onehot__route_variant_380-268     7.499639         7.499639
               onehot__route_variant_e68-22     7.474140         7.474140
               onehot__route_variant_188-10     7.472914         7.472914
               onehot__route_variant_3002-3     7.455192         7.455192
              onehot__route_variant_9825-12     7.426980         7.426980
               onehot__route_variant_352-10     7.416388         7.416388
                  onehot__suburb_cheltenham     7.412443         7.412443
               onehot__route_variant_372-18     7.400761         7.400761
               onehot__route_variant_695e-1     7.390309         7.390309
               onehot__route_variant_500-65     7.384059         7.384059
               onehot__route_variant_225-21     7.375334         7.375334
               onehot__route_variant_647e-1     7.347230         7.347230
               onehot__route_variant_2233-6     7.338371         7.338371
               onehot__route_variant_8010-6     7.336877         7.336877
               onehot__route_variant_648w-2     7.319947         7.319947
               onehot__route_variant_572-19     7.311523         7.311523
               onehot__route_variant_324-86     7.298091         7.298091
               onehot__route_variant_609w-2     7.287811         7.287811
               onehot__route_variant_646w-3     7.285436         7.285436
