=== Regression Results ===
R² (Train): 0.4292
R² (Test): -0.0170
RMSE (Train): 13.9432
RMSE (Test): 37.8120

=== Feature Coefficients ===
                             Feature  Coefficient  Abs_Coefficient
                 transit_stop_210113     0.074462         0.074462
                     suburb_mortlake     0.074448         0.074448
                 transit_stop_213752     0.074448         0.074448
                 route_variant_281-2     0.074063         0.074063
                route_variant_392-98    -0.074041         0.074041
                 transit_stop_215585    -0.073596         0.073596
                          route_681e     0.073542         0.073542
                route_variant_681e-2     0.073542         0.073542
                 transit_stop_202522     0.073542         0.073542
                route_variant_459-11     0.073229         0.073229
                 transit_stop_210364    -0.073207         0.073207
                transit_stop_2030105     0.072577         0.072577
                transit_stop_2770280    -0.072557         0.072557
                 transit_stop_219580     0.072240         0.072240
                           route_627    -0.071797         0.071797
                route_variant_325-20     0.071788         0.071788
                 transit_stop_204126     0.071674         0.071674
                route_variant_287-15     0.071478         0.071478
            transit_stop_sequence_89     0.071238         0.071238
                transit_stop_2113167     0.071053         0.071053
                transit_stop_2155114    -0.071048         0.071048
           suburb_west pennant hills     0.070960         0.070960
                 transit_stop_206090     0.070916         0.070916
                transit_stop_2031163     0.070754         0.070754
                 transit_stop_219620    -0.070221         0.070221
                 transit_stop_219939     0.069990         0.069990
                route_variant_t65-78     0.069952         0.069952
                 transit_stop_203063     0.069771         0.069771
                transit_stop_2232197     0.069745         0.069745
                 transit_stop_220342     0.069700         0.069700
                transit_stop_2046111     0.069662         0.069662
                route_variant_500-65     0.069301         0.069301
                 transit_stop_213464     0.069031         0.069031
                 transit_stop_219423     0.068902         0.068902
                transit_stop_2156127     0.068875         0.068875
                route_variant_641-44     0.068875         0.068875
                  suburb_bella vista    -0.068867         0.068867
                route_variant_372-16     0.068822         0.068822
                 transit_stop_221363     0.068254         0.068254
                transit_stop_2120166     0.068127         0.068127
                 transit_stop_215591    -0.067948         0.067948
                           route_370     0.067869         0.067869
                transit_stop_2161101     0.067844         0.067844
                route_variant_e69-19     0.067754         0.067754
                route_variant_413-26     0.067692         0.067692
                transit_stop_2155379    -0.067603         0.067603
                 transit_stop_201714     0.067476         0.067476
                 transit_stop_274792    -0.067332         0.067332
                 transit_stop_203447     0.066818         0.066818
                 transit_stop_209717     0.066796         0.066796
                transit_stop_2148368    -0.066699         0.066699
                transit_stop_2259891    -0.066416         0.066416
                route_variant_412-62    -0.065853         0.065853
               route_variant_507-125    -0.065822         0.065822
                transit_stop_2112154     0.065800         0.065800
                 transit_stop_203412     0.065667         0.065667
                transit_stop_2154374    -0.065661         0.065661
               route_variant_612x-48    -0.065661         0.065661
             transit_stop_sequence_9    -0.065440         0.065440
                transit_stop_2000142    -0.065266         0.065266
                 transit_stop_206779     0.065060         0.065060
                transit_stop_2065108    -0.065037         0.065037
                route_variant_619-90    -0.064938         0.064938
            transit_stop_sequence_18    -0.064420         0.064420
                 transit_stop_223279     0.064120         0.064120
                 route_variant_976-1     0.064120         0.064120
                 transit_stop_202951    -0.064104         0.064104
                route_variant_151-50     0.063963         0.063963
                 transit_stop_232475     0.063886         0.063886
                     suburb_waterloo     0.063789         0.063789
                transit_stop_2113187    -0.063761         0.063761
            transit_stop_sequence_52     0.063701         0.063701
                transit_stop_2154113     0.063626         0.063626
                transit_stop_2148186     0.063567         0.063567
               route_variant_724-131     0.063567         0.063567
                transit_stop_2196202     0.063263         0.063263
                 transit_stop_220048     0.062985         0.062985
                 transit_stop_206666     0.062952         0.062952
                route_variant_545-85     0.062707         0.062707
                  suburb_kurri kurri    -0.062130         0.062130
                route_variant_m91-95     0.062045         0.062045
                 transit_stop_251525     0.061953         0.061953
                transit_stop_2170488     0.061890         0.061890
                 transit_stop_201727     0.061236         0.061236
                 transit_stop_250032    -0.061185         0.061185
                 route_variant_597-9    -0.060997         0.060997
                 transit_stop_208118    -0.060997         0.060997
                           route_m41     0.060884         0.060884
                 transit_stop_203770     0.060757         0.060757
                 transit_stop_211848     0.060613         0.060613
                 transit_stop_204083     0.060594         0.060594
                 transit_stop_213223     0.060474         0.060474
                          route_612x    -0.060414         0.060414
                 transit_stop_202019     0.060368         0.060368
                transit_stop_2176254     0.060341         0.060341
                transit_stop_2171439     0.060259         0.060259
                     suburb_rossmore     0.060259         0.060259
                 transit_stop_212292     0.060077         0.060077
                 transit_stop_232726    -0.060020         0.060020
                    suburb_eastlakes    -0.059744         0.059744
                transit_stop_2000249    -0.059638         0.059638
                           route_e71     0.059445         0.059445
                suburb_dundas valley     0.059380         0.059380
                           route_353     0.059227         0.059227
                          route_8015    -0.059154         0.059154
               route_variant_8015-14    -0.059154         0.059154
                transit_stop_2153263    -0.059154         0.059154
                route_variant_230-42    -0.059110         0.059110
                 transit_stop_204219     0.059080         0.059080
                 transit_stop_204639     0.058993         0.058993
                route_variant_504-30     0.058993         0.058993
                route_variant_962-30     0.058984         0.058984
                transit_stop_2234159     0.058984         0.058984
                route_variant_545-86    -0.058755         0.058755
                route_variant_373-23     0.058713         0.058713
                 route_variant_946-1     0.058698         0.058698
                 transit_stop_212216     0.058620         0.058620
                route_variant_627-11     0.058326         0.058326
            transit_stop_sequence_54     0.058280         0.058280
                transit_stop_2153208    -0.058139         0.058139
                 transit_stop_208147    -0.058121         0.058121
                 transit_stop_215818     0.058086         0.058086
                 transit_stop_220874    -0.058083         0.058083
                transit_stop_2770295    -0.057819         0.057819
             transit_stop_sequence_2    -0.057742         0.057742
                 transit_stop_210148    -0.057559         0.057559
                 transit_stop_211323     0.057463         0.057463
                 route_variant_x06-5     0.057440         0.057440
                           route_x06     0.057440         0.057440
                 transit_stop_228720     0.057323         0.057323
                transit_stop_2154185     0.057247         0.057247
                          route_shs3    -0.057222         0.057222
                route_variant_shs3-1    -0.057222         0.057222
                route_variant_e71-19     0.057038         0.057038
                 transit_stop_203241     0.056677         0.056677
           transit_stop_sequence_107     0.056617         0.056617
                 transit_stop_276624     0.056433         0.056433
                 transit_stop_232715    -0.056338         0.056338
                transit_stop_2066128     0.056312         0.056312
                route_variant_261-43     0.056312         0.056312
              route_variant_610x-447     0.056295         0.056295
                route_variant_393-36     0.056141         0.056141
                route_variant_270-17    -0.055988         0.055988
                 transit_stop_214047    -0.055870         0.055870
               route_variant_1378-15     0.055821         0.055821
                          route_1378     0.055821         0.055821
                transit_stop_2322127     0.055821         0.055821
                 transit_stop_208911     0.055771         0.055771
                route_variant_580n-2     0.055771         0.055771
                          route_580n     0.055771         0.055771
                 suburb_lake heights    -0.055752         0.055752
                 transit_stop_220480     0.055743         0.055743
                 transit_stop_202755    -0.055709         0.055709
