=== Regression Results ===
R² (Train): 0.0829
R² (Test): 0.0542
RMSE (Train): 5.0642
RMSE (Test): 5.1763

=== Feature Coefficients ===
                                    Feature  Coefficient  Abs_Coefficient
               onehot__route_variant_393-33     0.671676         0.671676
                   onehot__suburb_marsfield     0.671486         0.671486
                     onehot__suburb_campsie     0.671123         0.671123
             onehot__suburb_harrington park     0.669910         0.669910
              onehot__route_variant_625-184     0.669316         0.669316
               onehot__route_variant_370-10     0.668843         0.668843
                 onehot__route_variant_57-6     0.668236         0.668236
            onehot__route_variant_6042-8094     0.667353         0.667353
              onehot__route_variant_l90-112     0.664300         0.664300
                     onehot__suburb_balmain     0.663737         0.663737
              onehot__route_variant_630-158     0.663058         0.663058
              onehot__route_variant_438-101     0.662984         0.662984
                    onehot__suburb_narellan     0.658180         0.658180
              onehot__route_variant_3531-21     0.657554         0.657554
                onehot__route_variant_905-5     0.654985         0.654985
               onehot__route_variant_674w-1     0.654669         0.654669
                   onehot__suburb_roseville     0.651187         0.651187
              onehot__route_variant_303-125     0.645542         0.645542
               onehot__route_variant_944-37     0.642039         0.642039
              onehot__suburb_acacia gardens     0.641538         0.641538
                onehot__route_variant_l28-8     0.640911         0.640911
                   onehot__suburb_eastlakes     0.639298         0.639298
                onehot__suburb_dulwich hill     0.638974         0.638974
               onehot__route_variant_461-32     0.638917         0.638917
              onehot__route_variant_745-143     0.636506         0.636506
               onehot__route_variant_389-25     0.636435         0.636435
              onehot__route_variant_740-162     0.636192         0.636192
                   onehot__suburb_dean park     0.636153         0.636153
                 onehot__suburb_spring farm     0.634306         0.634306
               onehot__route_variant_t70-57     0.632070         0.632070
                 onehot__suburb_russell lea     0.630629         0.630629
               onehot__route_variant_377-18     0.630615         0.630615
               onehot__route_variant_444-40     0.627824         0.627824
               onehot__route_variant_676e-3     0.626827         0.626827
               onehot__route_variant_252-37     0.626168         0.626168
               onehot__route_variant_381-11     0.621488         0.621488
              onehot__route_variant_604-113     0.620783         0.620783
               onehot__route_variant_780-32     0.619480         0.619480
                onehot__route_variant_x06-5     0.619265         0.619265
                      onehot__suburb_lurnea     0.618966         0.618966
                 onehot__suburb_st leonards     0.615171         0.615171
                     onehot__suburb_rozelle     0.613010         0.613010
              onehot__route_variant_804-599     0.613008         0.613008
               onehot__route_variant_e69-23     0.612495         0.612495
              onehot__route_variant_603-321     0.612380         0.612380
               onehot__route_variant_310-30     0.611273         0.611273
                  onehot__suburb_canada bay     0.610654         0.610654
                onehot__route_variant_450-8     0.610427         0.610427
               onehot__route_variant_348-11     0.609220         0.609220
                onehot__route_variant_493-5     0.608400         0.608400
               onehot__route_variant_392-97     0.605509         0.605509
               onehot__route_variant_140-36     0.604645         0.604645
                   onehot__suburb_woodcroft     0.603512         0.603512
              onehot__route_variant_301-104     0.602064         0.602064
                onehot__route_variant_565-5     0.602025         0.602025
               onehot__route_variant_513-21     0.601616         0.601616
                   onehot__suburb_watanobbi     0.600338         0.600338
               onehot__route_variant_309-95     0.593689         0.593689
              onehot__route_variant_309-105     0.589998         0.589998
              onehot__route_variant_303-130     0.588039         0.588039
               onehot__route_variant_690w-2     0.587834         0.587834
             onehot__route_variant_620x-206     0.586931         0.586931
               onehot__route_variant_376-36     0.584674         0.584674
               onehot__route_variant_380-95     0.582821         0.582821
                     onehot__direction_loop     0.581124         0.581124
               onehot__route_variant_738-61     0.578991         0.578991
              onehot__route_variant_301-103     0.576353         0.576353
               onehot__route_variant_372-16     0.576264         0.576264
              onehot__route_variant_1378-15     0.574900         0.574900
               onehot__route_variant_389-49     0.571658         0.571658
             onehot__route_variant_610x-453     0.571045         0.571045
               onehot__route_variant_309-99     0.569028         0.569028
                 onehot__suburb_dolls point     0.568997         0.568997
               onehot__route_variant_506-89     0.567497         0.567497
            onehot__suburb_allambie heights     0.567207         0.567207
              onehot__suburb_kingswood 2747     0.566205         0.566205
               onehot__route_variant_439-43     0.565422         0.565422
               onehot__route_variant_401-17     0.565359         0.565359
               onehot__route_variant_608n-1     0.563315         0.563315
              onehot__route_variant_752-116     0.562945         0.562945
               onehot__route_variant_132-14     0.560793         0.560793
                       onehot__suburb_dapto     0.560712         0.560712
               onehot__route_variant_x94-13     0.559813         0.559813
                onehot__route_variant_x92-3     0.558930         0.558930
                  onehot__suburb_warriewood     0.557673         0.557673
               onehot__route_variant_389-47     0.556467         0.556467
               onehot__route_variant_t71-91     0.551878         0.551878
                onehot__route_variant_173-4     0.550146         0.550146
                onehot__route_variant_x04-4     0.549908         0.549908
              onehot__route_variant_440-107     0.547103         0.547103
               onehot__route_variant_294-20     0.544953         0.544953
